service_id,date,exception_type,holiday_name
SPRING2025-SOUTHWKD-Weekday-1-Sb0e4ed14,20250829,1,
SPRING2025-SOUTHWKD-Weekday-1-Sb7371956,20250829,1,
SPRING2025-SOUTHWKD-Weekday-1-Sc9a3b080,20250829,1,
SPRING2025-SOUTHWKD-Weekday-1-Sd88ed885,20250829,1,
BUS42025-hbc45wk1-Weekday-02,20250901,2,Labor Day
BUS42025-hbg45wk1-Weekday-02,20250901,2,Labor Day
BUS42025-hbs45sw1-Weekday-02,20250901,2,Labor Day
Boat-EastBoston-Saturday-Summer-25,20250901,1,Labor Day
Boat-EastBoston-Weekday-Summer-25,20250901,2,Labor Day
Boat-F1-Sunday-Summer-25,20250901,1,Labor Day
Boat-F1-WeekdayModified-Summer-25,20250901,2,Labor Day
Boat-F4-Saturday-Summer-25,20250901,1,Labor Day
Boat-F4-Weekday-Summer-25,20250901,2,Labor Day
Boat-F6-Weekday-Summer-25,20250901,2,Labor Day
Boat-F7-Weekday-Summer-25,20250901,2,Labor Day
Boat-F8-Saturday-Summer-25,20250901,1,Labor Day
Boat-Lynn-Saturday-Summer-25,20250901,1,Labor Day
Boat-Lynn-Weekday-Summer-25,20250901,2,Labor Day
FallWeekday,20250901,2,Labor Day
LRV42025-hlb45011-Weekday-01,20250901,2,Labor Day
LRV42025-hlb45hl7-Sunday-01,20250901,1,Labor Day
LRV42025-hlm45011-Weekday-01,20250901,2,Labor Day
LaborDay-ThanksgivingDay,20250901,1,Labor Day
PRIV42025-hpa45011-Weekday-01,20250901,2,Labor Day
PRIV42025-hpj45011-Weekday-01,20250901,2,Labor Day
PRIV42025-hpj45017-Sunday-01,20250901,1,Labor Day
RTL42025-hmb45011-Weekday-01,20250901,2,Labor Day
RTL42025-hmo45011-Weekday-01,20250901,2,Labor Day
RTL42025-hms45011-Weekday-01,20250901,2,Labor Day
SPRING2025-NORTHSS-Weekend-6,20250901,1,Labor Day
SPRING2025-NORTHSS-Weekend-6-S6561ad1d,20250901,1,Labor Day
SPRING2025-NORTHSS-Weekend-6-S7d8482ee,20250901,1,Labor Day
SPRING2025-NORTHSS-Weekend-6-S9d378dcf,20250901,1,Labor Day
SPRING2025-NORTHWKD-Weekday-8,20250901,2,Labor Day
SPRING2025-NORTHWKD-Weekday-8-S6561ad1d,20250901,2,Labor Day
SPRING2025-NORTHWKD-Weekday-8-S7d8482ee,20250901,2,Labor Day
SPRING2025-NORTHWKD-Weekday-8-S9d378dcf,20250901,2,Labor Day
SPRING2025-S-Weekday-21Mon-Thu-Sb4,20250901,2,Labor Day
SPRING2025-S-Weekday-21Mon-Thu-Sb6,20250901,2,Labor Day
SPRING2025-S-Weekday-21Mon-Thu-Sc0,20250901,2,Labor Day
SPRING2025-S-Weekday-21Mon-Thu-Sd5,20250901,2,Labor Day
SPRING2025-SOUTHSS-Weekend-1-Sb0e4ed14,20250901,1,Labor Day
SPRING2025-SOUTHSS-Weekend-1-Sb7371956,20250901,1,Labor Day
SPRING2025-SOUTHSS-Weekend-1-Sc9a3b080,20250901,1,Labor Day
SPRING2025-SOUTHSS-Weekend-1-Sd88ed885,20250901,1,Labor Day
SPRING2025-SOUTHSS-Weekend-16-S4011ecb9,20250901,1,Labor Day
SPRING2025-SOUTHSS-Weekend-31,20250901,1,Labor Day
SPRING2025-SOUTHSS-Weekend-31-S85407dc6,20250901,1,Labor Day
SPRING2025-SOUTHSS-Weekend-31-Scbbf1ea5,20250901,1,Labor Day
SPRING2025-SOUTHWKD-Weekday-32,20250901,2,Labor Day
SPRING2025-SOUTHWKD-Weekday-32-S86,20250901,2,Labor Day
SPRING2025-SOUTHWKD-Weekday-32-Sc5,20250901,2,Labor Day
SPRING2025-SOUTHWKD-Weekday-1-Sb0e4ed14,20250905,1,
SPRING2025-SOUTHWKD-Weekday-1-Sb7371956,20250905,1,
SPRING2025-SOUTHWKD-Weekday-1-Sc9a3b080,20250905,1,
SPRING2025-SOUTHWKD-Weekday-1-Sd88ed885,20250905,1,
SPRING2025-SOUTHWKD-Weekday-1-Sb0e4ed14,20250912,1,
SPRING2025-SOUTHWKD-Weekday-1-Sb7371956,20250912,1,
SPRING2025-SOUTHWKD-Weekday-1-Sc9a3b080,20250912,1,
SPRING2025-SOUTHWKD-Weekday-1-Sd88ed885,20250912,1,
SPRING2025-SOUTHWKD-Weekday-1-Sb0e4ed14,20250919,1,
SPRING2025-SOUTHWKD-Weekday-1-Sb7371956,20250919,1,
SPRING2025-SOUTHWKD-Weekday-1-Sc9a3b080,20250919,1,
SPRING2025-SOUTHWKD-Weekday-1-Sd88ed885,20250919,1,
SPRING2025-SOUTHWKD-Weekday-1-Sb0e4ed14,20250926,1,
SPRING2025-SOUTHWKD-Weekday-1-Sb7371956,20250926,1,
SPRING2025-SOUTHWKD-Weekday-1-Sc9a3b080,20250926,1,
SPRING2025-SOUTHWKD-Weekday-1-Sd88ed885,20250926,1,
SPRING2025-SOUTHWKD-Weekday-1-Sb0e4ed14,20251003,1,
SPRING2025-SOUTHWKD-Weekday-1-Sb7371956,20251003,1,
SPRING2025-SOUTHWKD-Weekday-1-Sc9a3b080,20251003,1,
SPRING2025-SOUTHWKD-Weekday-1-Sd88ed885,20251003,1,
SPRING2025-SOUTHWKD-Weekday-1-Sb0e4ed14,20251010,1,
SPRING2025-SOUTHWKD-Weekday-1-Sb7371956,20251010,1,
SPRING2025-SOUTHWKD-Weekday-1-Sc9a3b080,20251010,1,
SPRING2025-SOUTHWKD-Weekday-1-Sd88ed885,20251010,1,
BUS42025-hbc45wk1-Weekday-02,20251013,2,Indigenous People's Day
BUS42025-hbg45wk1-Weekday-02,20251013,2,Indigenous People's Day
BUS42025-hbs45sw1-Weekday-02,20251013,2,Indigenous People's Day
FallWeekday,20251013,2,Indigenous People's Day
IndigenousPeoplesDay,20251013,1,Indigenous People's Day
LRV42025-hlb45011-Weekday-01,20251013,2,Indigenous People's Day
LRV42025-hlm45011-Weekday-01,20251013,2,Indigenous People's Day
PRIV42025-hpa45011-Weekday-01,20251013,2,Indigenous People's Day
PRIV42025-hpa45016-Saturday-01,20251013,1,Indigenous People's Day
PRIV42025-hpj45011-Weekday-01,20251013,2,Indigenous People's Day
PRIV42025-hpj45016-Saturday-01,20251013,1,Indigenous People's Day
RTL42025-hmb45011-Weekday-01,20251013,2,Indigenous People's Day
RTL42025-hmo45011-Weekday-01,20251013,2,Indigenous People's Day
RTL42025-hms45011-Weekday-01,20251013,2,Indigenous People's Day
SPRING2025-NORTHSS-Weekend-6,20251013,1,Indigenous People's Day
SPRING2025-NORTHSS-Weekend-6-S6561ad1d,20251013,1,Indigenous People's Day
SPRING2025-NORTHSS-Weekend-6-S7d8482ee,20251013,1,Indigenous People's Day
SPRING2025-NORTHSS-Weekend-6-S9d378dcf,20251013,1,Indigenous People's Day
